# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Aug  2 15:42:12 2025
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
Kepler-1149 b,Kepler-1149,1,1,3.73089898000,0.00001502000,-0.00001502000,0,1.44000000,0.26000000,-0.17000000,0,0.12846820,0.02319565,-0.01516638,0,,5833.00,117.20,-177.03,0,1.010000,0.184000,-0.101000,0,0.16546,,,0
Kepler-115 b,Kepler-115,1,2,2.40367900000,0.00001200000,-0.00001200000,0,1.09000000,0.21000000,-0.21000000,0,0.09700000,0.01900000,-0.01900000,0,,5979.00,132.00,-132.00,0,1.205000,0.230000,-0.230000,0,0.22007,0.02365,-0.01561,0
Kepler-115 c,Kepler-115,1,2,8.99088900000,0.00002100000,-0.00002100000,0,2.60000000,0.50000000,-0.50000000,0,0.23200000,0.04500000,-0.04500000,0,,5979.00,132.00,-132.00,0,1.205000,0.230000,-0.230000,0,0.22007,0.02365,-0.01561,0
Kepler-1150 b,Kepler-1150,2,1,2.78786838600,0.00000826500,-0.00000826500,0,1.02000000,0.06000000,-0.06000000,0,0.09099830,0.00535284,-0.00535284,0,,4754.00,80.38,-77.33,0,0.720000,0.027000,-0.032000,0,-0.66578,,,0
Kepler-1151 b,Kepler-1151,1,1,65.64784240000,0.00040100000,-0.00040100000,0,2.22000000,0.24000000,-0.17000000,0,0.19805513,0.02141137,-0.01516638,0,,5470.00,97.19,-93.64,0,0.850000,0.083000,-0.062000,0,-0.34196,,,0
Kepler-1152 b,Kepler-1152,1,1,1.64680190800,0.00000267200,-0.00000267200,0,0.87000000,0.05000000,-0.06000000,0,0.07761620,0.00446070,-0.00535284,0,,3964.00,46.47,-45.68,0,0.530000,0.030000,-0.027000,0,-1.09668,0.08602,-0.10738,0
Kepler-1153 b,Kepler-1153,1,1,1.75583532700,0.00000438500,-0.00000438500,0,1.73000000,0.21000000,-0.11000000,0,0.15434026,0.01873495,-0.00981354,0,,5470.00,75.20,-93.55,0,0.880000,0.099000,-0.054000,0,-0.28448,,,0
Kepler-1154 b,Kepler-1154,1,2,5.18561420000,0.00002676000,-0.00002676000,0,2.34000000,1.06000000,-0.49000000,0,0.20876082,0.09456687,-0.04371487,0,,6327.00,317.30,-262.85,0,1.430000,0.647000,-0.295000,0,0.45174,,,0
Kepler-1154 c,Kepler-1154,1,2,8.45808312000,0.00004757000,-0.00004757000,0,2.36000000,0.95000000,-0.49000000,0,0.21054510,0.08475332,-0.04371487,0,,6327.00,317.30,-262.85,0,1.430000,0.647000,-0.295000,0,0.45174,,,0
Kepler-1155 b,Kepler-1155,1,1,33.46974300000,0.00020030000,-0.00020030000,0,2.03000000,0.45000000,-0.20000000,0,0.18110447,0.04014631,-0.01784280,0,,5842.00,115.89,-141.61,0,1.030000,0.223000,-0.101000,0,0.04720,,,0
Kepler-1156 b,Kepler-1156,1,1,11.89520511000,0.00006499000,-0.00006499000,0,1.32000000,0.14000000,-0.09000000,0,0.11776251,0.01248996,-0.00802926,0,,5778.00,67.42,-59.01,0,1.000000,0.093000,-0.061000,0,-0.06802,,,0
Kepler-1157 b,Kepler-1157,1,1,4.45743164000,0.00001699000,-0.00001699000,0,1.09000000,0.04000000,-0.20000000,0,0.09724329,0.00356856,-0.01784280,0,,4679.00,54.66,-58.05,0,0.710000,0.025000,-0.029000,0,-0.67539,,,0
Kepler-1158 b,Kepler-1158,1,1,13.53962930000,0.00009329000,-0.00009329000,0,2.34000000,0.46000000,-0.46000000,0,0.20876082,0.04103845,-0.04103845,0,,6203.00,91.16,-81.11,0,1.950000,0.374000,-0.381000,0,0.84033,,,0
Kepler-1159 b,Kepler-1159,1,1,22.70816791000,0.00009541000,-0.00009541000,0,2.37000000,1.03000000,-0.37000000,0,0.21143724,0.09189045,-0.03300919,0,,6217.00,147.74,-196.66,0,1.280000,0.555000,-0.195000,0,0.29847,,,0
Kepler-116 b,Kepler-116,1,2,5.96873400000,0.00000900000,-0.00000900000,0,3.42000000,0.65000000,-0.65000000,0,0.30500000,0.05800000,-0.05800000,0,,6142.00,100.00,-100.00,0,1.454000,0.273000,-0.273000,0,0.42073,,,0
Kepler-116 c,Kepler-116,1,2,13.07163000000,0.00005600000,-0.00005600000,0,2.30000000,0.44000000,-0.44000000,0,0.20500000,0.03900000,-0.03900000,0,,6142.00,100.00,-100.00,0,1.454000,0.273000,-0.273000,0,0.42073,,,0
Kepler-1160 b,Kepler-1160,1,1,7.97034958000,0.00003122000,-0.00003122000,0,2.14000000,0.28000000,-0.14000000,0,0.19091801,0.02497993,-0.01248996,0,,5519.00,61.23,-63.44,0,0.890000,0.110000,-0.053000,0,-0.34326,,,0
Kepler-1161 b,Kepler-1161,1,1,10.71252541000,0.00003876000,-0.00003876000,0,2.13000000,0.50000000,-0.13000000,0,0.19002587,0.04460701,-0.01159782,0,,4253.00,55.15,-52.76,0,0.570000,0.026000,-0.028000,0,-0.65314,,,0
Kepler-1162 b,Kepler-1162,1,2,32.56370690000,0.00024720000,-0.00024720000,0,2.21000000,0.50000000,-0.21000000,0,0.19716299,0.04460701,-0.01873495,0,,5390.00,61.74,-58.89,0,0.840000,0.074000,-0.046000,0,-0.32228,,,0
Kepler-1162 c,Kepler-1162,1,2,59.28406400000,0.00069920000,-0.00069920000,0,1.81000000,0.13000000,-0.11000000,0,0.16147766,0.01159784,-0.00981356,0,,5225.00,83.00,-73.00,0,0.859000,0.063000,-0.051000,0,-0.32228,,,0
Kepler-1163 b,Kepler-1163,1,1,6.11786898000,0.00002808000,-0.00002808000,0,1.03000000,0.17000000,-0.11000000,0,0.09189045,0.01516638,-0.00981354,0,,6302.00,69.67,-63.95,0,1.350000,0.226000,-0.134000,0,0.39636,0.01818,-0.01773,0
Kepler-1164 b,Kepler-1164,1,1,3.97599768000,0.00001086000,-0.00001086000,0,1.12000000,0.04000000,-0.07000000,0,0.09991971,0.00356856,-0.00624498,0,,5183.00,80.28,-63.78,0,0.790000,0.022000,-0.023000,0,-0.39926,,,0
Kepler-1165 b,Kepler-1165,1,2,9.47852200000,0.00005909000,-0.00005909000,0,1.55000000,0.50000000,-0.19000000,0,0.13828174,0.04460701,-0.01695066,0,,6080.00,97.21,-115.97,0,1.180000,0.393000,-0.142000,0,0.55152,,,0
Kepler-1165 c,Kepler-1165,1,2,29.96870041000,,,0,3.36093385,,,0,0.29984295,,,0,,6249.00,174.00,-217.00,0,1.076000,0.335000,-0.112000,0,0.55152,,,0
Kepler-1166 b,Kepler-1166,1,1,33.24068820000,0.00028000000,-0.00028000000,0,1.69000000,0.62000000,-0.14000000,0,0.15077170,0.05531270,-0.01248996,0,,5446.00,83.15,-87.62,0,0.860000,0.104000,-0.057000,0,-0.25594,,,0
Kepler-1167 b,Kepler-1167,1,1,1.00393373900,0.00000267800,-0.00000267800,0,1.71000000,0.12000000,-0.12000000,0,0.15255598,0.01070568,-0.01070568,0,,4971.00,96.57,-125.10,0,0.750000,0.040000,-0.044000,0,-0.53589,,,0
Kepler-1168 b,Kepler-1168,1,1,55.82265390000,0.00038710000,-0.00038710000,0,2.50000000,0.18000000,-0.13000000,0,0.22303506,0.01605852,-0.01159782,0,,5157.00,47.04,-55.91,0,0.820000,0.045000,-0.035000,0,-0.53020,,,0
Kepler-1169 b,Kepler-1169,1,1,6.11009134000,0.00002806000,-0.00002806000,0,0.94000000,0.06000000,-0.06000000,0,0.08386118,0.00535284,-0.00535284,0,,6191.00,80.54,-76.47,0,1.230000,0.059000,-0.053000,0,0.26202,0.01954,-0.01387,0
Kepler-117 b,Kepler-117,1,2,18.79592280000,0.00000750000,-0.00000750000,0,8.05900000,0.26900000,-0.26900000,0,0.71900000,0.02400000,-0.02400000,0,F8 V,6150.00,110.00,-110.00,0,1.606000,0.049000,-0.049000,0,0.53776,,,0
Kepler-117 c,Kepler-117,1,2,50.79039100000,0.00001400000,-0.00001400000,0,12.34100000,0.39200000,-0.39200000,0,1.10100000,0.03500000,-0.03500000,0,F8 V,6150.00,110.00,-110.00,0,1.606000,0.049000,-0.049000,0,0.53776,,,0
Kepler-1170 b,Kepler-1170,1,1,9.98969327000,0.00004242000,-0.00004242000,0,2.41000000,0.19000000,-0.17000000,0,0.21500580,0.01695066,-0.01516638,0,,5069.00,120.38,-96.50,0,0.760000,0.046000,-0.051000,0,-0.33840,,,0
Kepler-1171 b,Kepler-1171,1,1,1.44259224000,0.00000219000,-0.00000219000,0,2.56000000,0.68000000,-0.50000000,0,0.22838790,0.06066554,-0.04460701,0,,7044.00,277.69,-199.09,0,1.950000,0.513000,-0.384000,0,0.86922,0.02941,-0.02279,0
Kepler-1172 b,Kepler-1172,1,1,26.02044230000,0.00018860000,-0.00018860000,0,3.20000000,0.40000000,-0.28000000,0,0.28548488,0.03568561,-0.02497993,0,,5558.00,144.94,-137.66,0,0.890000,0.109000,-0.069000,0,-0.16073,,,0
Kepler-1173 b,Kepler-1173,1,1,0.76985360000,0.00000120500,-0.00000120500,0,0.89000000,0.23000000,-0.07000000,0,0.07940048,0.02051923,-0.00624498,0,,5252.00,92.48,-116.76,0,0.820000,0.059000,-0.042000,0,-0.43521,,,0
Kepler-1174 b,Kepler-1174,1,1,6.89225223000,0.00002664000,-0.00002664000,0,1.59000000,0.31000000,-0.16000000,0,0.14185030,0.02765635,-0.01427424,0,,5936.00,117.34,-103.81,0,1.040000,0.196000,-0.099000,0,0.55531,,,0
Kepler-1175 b,Kepler-1175,1,1,37.94563000000,0.00017320000,-0.00017320000,0,2.99000000,0.27000000,-0.23000000,0,0.26674993,0.02408779,-0.02051923,0,,5453.00,66.21,-80.38,0,0.860000,0.071000,-0.059000,0,-0.33980,,,0
Kepler-1176 b,Kepler-1176,1,1,24.17385790000,0.00013360000,-0.00013360000,0,2.45000000,0.63000000,-0.32000000,0,0.21857436,0.05620484,-0.02854849,0,,5844.00,264.61,-268.56,0,1.020000,0.256000,-0.128000,0,-0.11691,,,0
Kepler-1177 b,Kepler-1177,1,1,106.24754700000,0.00182200000,-0.00182200000,0,1.90000000,0.16000000,-0.12000000,0,0.16950665,0.01427424,-0.01070568,0,,5712.00,62.98,-66.68,0,0.970000,0.071000,-0.051000,0,0.34212,,,0
Kepler-1178 b,Kepler-1178,1,1,31.80634000000,0.00038570000,-0.00038570000,0,1.07000000,0.06000000,-0.08000000,0,0.09545901,0.00535284,-0.00713712,0,,4990.00,58.43,-68.54,0,0.750000,0.034000,-0.042000,0,-0.27723,,,0
Kepler-1179 b,Kepler-1179,1,1,2.68505749200,0.00000409900,-0.00000409900,0,1.32000000,0.09000000,-0.08000000,0,0.11776251,0.00802926,-0.00713712,0,,5212.00,65.46,-65.67,0,0.810000,0.048000,-0.044000,0,-0.44424,,,0
Kepler-118 b,Kepler-118,1,2,7.51849600000,0.00005600000,-0.00005600000,0,1.96000000,0.94000000,-0.94000000,0,0.17500000,0.08400000,-0.08400000,0,,5274.00,200.00,-200.00,0,1.094000,0.489000,-0.489000,0,-0.37737,,,0
Kepler-118 c,Kepler-118,1,2,20.17202000000,0.00001300000,-0.00001300000,0,7.68000000,3.43000000,-3.43000000,0,0.68500000,0.30600000,-0.30600000,0,,5274.00,200.00,-200.00,0,1.094000,0.489000,-0.489000,0,-0.37737,,,0
Kepler-1180 b,Kepler-1180,1,1,16.86012860000,0.00013690000,-0.00013690000,0,1.99000000,0.55000000,-0.27000000,0,0.17753591,0.04906771,-0.02408779,0,,6077.00,243.54,-226.98,0,1.140000,0.314000,-0.149000,0,0.41746,,,0
Kepler-1181 b,Kepler-1181,1,2,4.89337519000,0.00002526000,-0.00002526000,0,1.57000000,0.65000000,-0.26000000,0,0.14006602,0.05798912,-0.02319565,0,,6176.00,82.26,-87.31,0,1.300000,0.539000,-0.208000,0,0.47243,,,0
Kepler-1181 c,Kepler-1181,1,2,8.93484887000,0.00009707000,-0.00009707000,0,1.83000000,0.64000000,-0.23000000,0,0.16326195,0.05709707,-0.02051926,0,,6688.00,187.00,-281.00,0,1.347000,0.473000,-0.169000,0,0.47243,,,0
Kepler-1182 b,Kepler-1182,1,1,11.17394617000,0.00006278000,-0.00006278000,0,2.41000000,0.60000000,-0.50000000,0,0.21500580,0.05352841,-0.04460701,0,,5924.00,202.44,-241.80,0,1.050000,0.261000,-0.130000,0,0.25605,,,0
Kepler-1183 b,Kepler-1183,1,1,28.50571890000,0.00030310000,-0.00030310000,0,2.82000000,0.52000000,-0.30000000,0,0.25158355,0.04639129,-0.02676421,0,,5765.00,121.54,-176.40,0,0.990000,0.178000,-0.098000,0,0.25466,,,0
Kepler-1184 b,Kepler-1184,1,1,53.59910440000,0.00036740000,-0.00036740000,0,2.68000000,0.60000000,-0.30000000,0,0.23909359,0.05352841,-0.02676421,0,,5983.00,110.01,-118.73,0,1.070000,0.195000,-0.109000,0,0.06532,,,0
Kepler-1185 b,Kepler-1185,1,1,104.35189760000,0.00067050000,-0.00067050000,0,1.33000000,0.08000000,-0.05000000,0,0.11865465,0.00713712,-0.00446070,0,,5622.00,67.70,-58.78,0,0.870000,0.020000,-0.018000,0,0.28187,0.01742,-0.02533,0
Kepler-1186 b,Kepler-1186,1,1,16.07677615000,0.00007199000,-0.00007199000,0,2.23000000,0.36000000,-0.22000000,0,0.19894727,0.03211705,-0.01962709,0,,5635.00,68.42,-72.34,0,0.930000,0.148000,-0.064000,0,0.06369,,,0
Kepler-1187 b,Kepler-1187,1,1,18.87064068000,0.00006002000,-0.00006002000,0,2.61000000,0.51000000,-0.28000000,0,0.23284860,0.04549915,-0.02497993,0,,5975.00,182.70,-129.11,0,1.090000,0.208000,-0.116000,0,0.13585,,,0
Kepler-1188 b,Kepler-1188,1,1,17.13695430000,0.00012140000,-0.00012140000,0,2.08000000,0.49000000,-0.22000000,0,0.18556517,0.04371487,-0.01962709,0,,5913.00,104.30,-106.82,0,1.060000,0.249000,-0.105000,0,0.39786,,,0
Kepler-1189 b,Kepler-1189,1,1,3.78858982000,0.00002274000,-0.00002274000,0,1.77000000,0.52000000,-0.48000000,0,0.15790882,0.04639129,-0.04282273,0,,6012.00,121.95,-184.74,0,1.160000,0.342000,-0.149000,0,0.04086,,,0
Kepler-119 b,Kepler-119,1,2,2.42208200000,0.00000100000,-0.00000100000,0,3.60000000,1.37000000,-1.37000000,0,0.32100000,0.12200000,-0.12200000,0,,5595.00,200.00,-200.00,0,0.839000,0.319000,-0.319000,0,-0.03660,,,0
Kepler-119 c,Kepler-119,1,2,4.12510300000,0.00002800000,-0.00002800000,0,0.92000000,0.35000000,-0.35000000,0,0.08200000,0.03100000,-0.03100000,0,,5595.00,200.00,-200.00,0,0.839000,0.319000,-0.319000,0,-0.03660,,,0
Kepler-1190 b,Kepler-1190,1,1,10.45843441000,0.00005281000,-0.00005281000,0,1.33000000,0.05000000,-0.11000000,0,0.11865465,0.00446070,-0.00981354,0,,4730.00,39.96,-39.65,0,0.720000,0.022000,-0.035000,0,-0.72720,,,0
Kepler-1191 b,Kepler-1191,1,1,5.60014851000,0.00001909000,-0.00001909000,0,1.51000000,0.13000000,-0.11000000,0,0.13471318,0.01159782,-0.00981354,0,,5308.00,107.78,-83.33,0,0.810000,0.063000,-0.056000,0,-0.22611,,,0
Kepler-1192 b,Kepler-1192,1,1,25.20347870000,0.00012780000,-0.00012780000,0,2.36000000,0.24000000,-0.22000000,0,0.21054510,0.02141137,-0.01962709,0,,5438.00,67.15,-57.17,0,0.830000,0.077000,-0.073000,0,-0.12830,,,0
Kepler-1193 b,Kepler-1193,1,1,2.83265213400,0.00000903200,-0.00000903200,0,1.32000000,0.21000000,-0.17000000,0,0.11776251,0.01873495,-0.01516638,0,,5908.00,75.02,-61.06,0,1.210000,0.188000,-0.147000,0,0.35069,0.01455,-0.02164,0
Kepler-1194 b,Kepler-1194,1,1,16.22371307000,0.00008867000,-0.00008867000,0,1.51000000,0.12000000,-0.09000000,0,0.13471318,0.01070568,-0.00802926,0,,5590.00,97.14,-79.79,0,0.920000,0.059000,-0.047000,0,-0.12700,,,0
Kepler-1195 b,Kepler-1195,1,1,8.49642241000,0.00002872000,-0.00002872000,0,2.08000000,0.19000000,-0.17000000,0,0.18556517,0.01695066,-0.01516638,0,,4965.00,111.27,-80.25,0,0.710000,0.050000,-0.056000,0,-0.44607,,,0
Kepler-1196 b,Kepler-1196,1,1,66.18490310000,0.00046610000,-0.00046610000,0,2.23000000,0.37000000,-0.21000000,0,0.19894727,0.03300919,-0.01873495,0,,5756.00,129.38,-149.10,0,0.970000,0.151000,-0.086000,0,-0.04702,,,0
Kepler-1197 b,Kepler-1197,1,1,2.03231845000,0.00000375100,-0.00000375100,0,1.25000000,0.03000000,-0.09000000,0,0.11151753,0.00267642,-0.00802926,0,,4708.00,63.31,-50.89,0,0.720000,0.013000,-0.014000,0,-0.66629,,,0
Kepler-1198 b,Kepler-1198,1,1,7.68477160000,0.00003250000,-0.00003250000,0,1.47000000,0.18000000,-0.10000000,0,0.13114462,0.01605852,-0.00892140,0,,5517.00,80.26,-98.45,0,0.900000,0.095000,-0.056000,0,-0.23165,,,0
Kepler-1199 b,Kepler-1199,1,1,15.04471980000,0.00010840000,-0.00010840000,0,1.15000000,0.21000000,-0.16000000,0,0.10259613,0.01873495,-0.01427424,0,,5889.00,84.29,-64.89,0,1.170000,0.210000,-0.161000,0,0.18707,0.04754,-0.05340,0
Kepler-12 b,Kepler-12,1,1,4.43796290000,0.00000060000,-0.00000060000,0,19.66058600,0.34747900,-0.40352400,0,1.75400000,0.03100000,-0.03600000,0,,5947.00,100.00,-100.00,0,1.483000,0.025000,-0.029000,0,0.44933,0.01725,-0.01740,0
Kepler-120 b,Kepler-120,1,2,6.31250100000,0.00000800000,-0.00000800000,0,2.15000000,0.17000000,-0.17000000,0,0.19200000,0.01500000,-0.01500000,0,M0 V,4096.00,150.00,-150.00,0,0.534000,0.028000,-0.028000,0,-0.67701,,,0
Kepler-120 c,Kepler-120,1,2,12.79458500000,0.00004400000,-0.00004400000,0,1.53000000,0.09000000,-0.09000000,0,0.13600000,0.00800000,-0.00800000,0,M0 V,4096.00,150.00,-150.00,0,0.534000,0.028000,-0.028000,0,-0.67701,,,0
Kepler-1200 b,Kepler-1200,1,1,1.11854971700,0.00000312000,-0.00000312000,0,1.06000000,0.06000000,-0.08000000,0,0.09456687,0.00535284,-0.00713712,0,,4612.00,101.02,-139.97,0,0.700000,0.029000,-0.036000,0,-0.68923,,,0
Kepler-1201 b,Kepler-1201,1,1,15.18725932000,0.00008158000,-0.00008158000,0,2.29000000,0.91000000,-0.43000000,0,0.20430012,0.08118476,-0.03836203,0,,6177.00,146.30,-232.29,0,1.240000,0.464000,-0.190000,0,0.04424,,,0
Kepler-1202 b,Kepler-1202,1,1,28.68513240000,0.00018990000,-0.00018990000,0,2.94000000,0.91000000,-0.31000000,0,0.26228923,0.08118476,-0.02765635,0,,5834.00,80.98,-131.48,0,1.040000,0.222000,-0.100000,0,-0.13389,,,0
Kepler-1203 b,Kepler-1203,1,1,0.58800076500,0.00000058200,-0.00000058200,0,1.06000000,0.06000000,-0.04000000,0,0.09456687,0.00535284,-0.00356856,0,,4105.00,43.70,-35.84,0,0.610000,0.015000,-0.017000,0,-0.85362,,,0
Kepler-1204 b,Kepler-1204,1,1,85.73502850000,0.00063730000,-0.00063730000,0,3.05000000,0.87000000,-0.30000000,0,0.27210277,0.07761620,-0.02676421,0,,5825.00,88.38,-121.08,0,1.030000,0.291000,-0.096000,0,-0.05771,,,0
Kepler-1205 b,Kepler-1205,1,1,1.07839035200,0.00000159600,-0.00000159600,0,1.41000000,0.10000000,-0.09000000,0,0.12579177,0.00892140,-0.00802926,0,,5226.00,84.83,-71.27,0,0.810000,0.051000,-0.046000,0,-0.41829,,,0
Kepler-1206 b,Kepler-1206,1,1,1.21699766300,0.00000260500,-0.00000260500,0,1.64000000,0.09000000,-0.08000000,0,0.14631100,0.00802926,-0.00713712,0,,4877.00,55.23,-79.61,0,0.750000,0.027000,-0.027000,0,-0.61957,,,0
Kepler-1207 b,Kepler-1207,1,1,13.68237119000,0.00008986000,-0.00008986000,0,1.62000000,0.51000000,-0.18000000,0,0.14452672,0.04549915,-0.01605852,0,,5909.00,88.29,-99.94,0,1.060000,0.227000,-0.098000,0,0.63789,,,0
Kepler-1208 b,Kepler-1208,1,1,11.08507637000,0.00005235000,-0.00005235000,0,2.32000000,0.19000000,-0.14000000,0,0.20697654,0.01695066,-0.01248996,0,,5001.00,110.88,-108.59,0,0.760000,0.039000,-0.042000,0,-0.55349,,,0
Kepler-1209 b,Kepler-1209,1,1,25.36911600000,0.00012490000,-0.00012490000,0,1.51000000,0.32000000,-0.18000000,0,0.13471318,0.02854849,-0.01605852,0,,6210.00,71.25,-59.14,0,1.380000,0.288000,-0.161000,0,0.34256,0.02901,-0.01444,0
Kepler-121 b,Kepler-121,1,2,3.17742200000,0.00000300000,-0.00000300000,0,2.34000000,1.27000000,-1.27000000,0,0.20900000,0.11300000,-0.11300000,0,,5311.00,200.00,-200.00,0,0.701000,0.380000,-0.380000,0,-0.47396,,,0
Kepler-121 c,Kepler-121,1,2,41.00801100000,0.00019100000,-0.00019100000,0,2.27000000,1.25000000,-1.25000000,0,0.20300000,0.11200000,-0.11200000,0,,5311.00,200.00,-200.00,0,0.701000,0.380000,-0.380000,0,-0.47396,,,0
Kepler-1210 b,Kepler-1210,1,1,8.07124073000,0.00004899000,-0.00004899000,0,1.70000000,0.30000000,-0.13000000,0,0.15166384,0.02676421,-0.01159782,0,,5568.00,67.19,-91.62,0,0.920000,0.156000,-0.065000,0,-0.14879,,,0
Kepler-1211 b,Kepler-1211,1,1,11.01816836000,0.00007975000,-0.00007975000,0,2.55000000,0.42000000,-0.41000000,0,0.22749576,0.03746989,-0.03657775,0,,5705.00,123.21,-77.68,0,0.940000,0.132000,-0.079000,0,0.13445,,,0
Kepler-1212 b,Kepler-1212,1,1,12.94130146000,0.00007910000,-0.00007910000,0,2.14000000,0.58000000,-0.27000000,0,0.19091801,0.05174413,-0.02408779,0,,6051.00,144.84,-180.60,0,1.150000,0.309000,-0.141000,0,0.21104,,,0
Kepler-1213 b,Kepler-1213,1,1,5.34982412000,0.00002659000,-0.00002659000,0,1.19000000,0.13000000,-0.10000000,0,0.10616469,0.01159782,-0.00892140,0,,6050.00,74.56,-81.73,0,1.210000,0.128000,-0.093000,0,0.39455,0.01865,-0.01528,0
Kepler-1214 b,Kepler-1214,1,1,18.82634264000,0.00008784000,-0.00008784000,0,2.36000000,0.19000000,-0.11000000,0,0.21054510,0.01695066,-0.00981354,0,,5130.00,48.18,-47.96,0,0.800000,0.043000,-0.032000,0,-0.41949,,,0
Kepler-1215 b,Kepler-1215,1,1,4.76703963000,0.00002300000,-0.00002300000,0,1.22000000,0.18000000,-0.12000000,0,0.10884111,0.01605852,-0.01070568,0,,5616.00,92.62,-130.14,0,0.930000,0.133000,-0.070000,0,-0.18176,,,0
Kepler-1216 b,Kepler-1216,1,1,4.37034536000,0.00001993000,-0.00001993000,0,1.39000000,0.22000000,-0.11000000,0,0.12400749,0.01962709,-0.00981354,0,,5743.00,73.65,-77.97,0,0.980000,0.147000,-0.074000,0,0.07290,,,0
Kepler-1217 b,Kepler-1217,1,1,2.03232507200,0.00000645900,-0.00000645900,0,1.99000000,0.48000000,-0.19000000,0,0.17753591,0.04282273,-0.01695066,0,,5905.00,82.88,-103.67,0,1.080000,0.256000,-0.101000,0,0.08509,,,0
Kepler-1218 b,Kepler-1218,1,1,22.92212660000,0.00023370000,-0.00023370000,0,1.44000000,0.15000000,-0.14000000,0,0.12846820,0.01338210,-0.01248996,0,,5986.00,91.33,-76.59,0,1.100000,0.112000,-0.085000,0,0.36296,,,0
Kepler-1219 b,Kepler-1219,1,1,16.10467749000,0.00008828000,-0.00008828000,0,2.12000000,0.56000000,-0.45000000,0,0.18913373,0.04995985,-0.04014631,0,,5944.00,91.26,-81.66,0,1.940000,0.504000,-0.404000,0,0.92552,0.01817,-0.02679,0
Kepler-122 b,Kepler-122,1,5,5.76619300000,0.00001600000,-0.00001600000,0,2.34000000,0.46000000,-0.46000000,0,0.20900000,0.04100000,-0.04100000,0,,6050.00,137.00,-137.00,0,1.216000,0.239000,-0.239000,0,0.26993,,,0
Kepler-122 c,Kepler-122,1,5,12.46598800000,0.00000900000,-0.00000900000,0,5.87000000,1.16000000,-1.16000000,0,0.52400000,0.10300000,-0.10300000,0,,6050.00,137.00,-137.00,0,1.216000,0.239000,-0.239000,0,0.26993,,,0
Kepler-122 d,Kepler-122,1,5,21.58747500000,0.00016400000,-0.00016400000,0,2.20000000,0.44000000,-0.44000000,0,0.19600000,0.03900000,-0.03900000,0,,6050.00,137.00,-137.00,0,1.216000,0.239000,-0.239000,0,0.26993,,,0
Kepler-122 e,Kepler-122,1,5,37.99327300000,0.00039000000,-0.00039000000,0,2.60000000,0.54000000,-0.54000000,0,0.23200000,0.04800000,-0.04800000,0,,6050.00,137.00,-137.00,0,1.216000,0.239000,-0.239000,0,0.26993,,,0
Kepler-122 f,Kepler-122,1,5,56.26800000000,,,0,1.75000000,0.60000000,-0.16000000,0,0.15600000,0.05400000,-0.01400000,0,,5917.00,60.00,-60.00,0,0.949000,,,0,0.26993,,,0
Kepler-1220 b,Kepler-1220,1,1,7.42693741000,0.00004187000,-0.00004187000,0,1.52000000,0.33000000,-0.19000000,0,0.13560532,0.02944063,-0.01695066,0,,5842.00,246.43,-266.34,0,0.990000,0.208000,-0.123000,0,0.02481,,,0
